Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
2860d3f9ee4d4b,46f1b1c3bf0dae,25ade93a241f39,0,0,0.0,0,0,0,80,0,0,0,0.0,1413,duo,48,48,1496,0,0.0,0,0.0,0,0,257.0,4,0,0.1674868289420495
0b88c47e54cdcc,5e92598b08bcb1,95125f5e05c653,0,2,359.0,4,0,0,5,1387,4,2,35.7,1386,duo-fpp,48,47,-1,1,262.7,0,0.0,0,0,1025.0,5,1607,0.610491523142093
8f086d61515bc4,ed4cfbc560f490,8a84da96d077c3,0,0,223.5,1,0,0,15,1673,2,1,27.39,1410,duo-fpp,49,48,-1,0,0.0,0,0.0,0,0,712.8,2,1736,0.6662055858251803
7c037ca62a38a4,d2ff4830704e19,a139eac809980a,0,0,128.1,0,0,0,50,1479,0,0,0.0,1357,squad-fpp,31,28,-1,0,0.0,0,0.0,0,0,2738.0,4,1476,0.7229560500369682
82f08cde238c60,7c5002766d8c7a,e9d203a36b1d0a,0,0,200.0,2,0,0,36,0,1,1,25.75,1395,squad-fpp,28,28,1479,0,0.0,0,0.0,0,0,129.4,2,0,0.20409455188147546
554c888a6ff2ae,0a4b2a9fc11a88,d97e7815558ad6,0,0,0.0,0,0,0,71,1408,0,0,0.0,1453,solo-fpp,95,93,-1,0,0.0,0,0.0,0,0,91.61,1,1460,0.30902804453918437
14306c2b633c25,f6e3a6b887da96,97879fd93ce1ae,1,1,37.1,0,0,0,44,973,0,0,0.0,1342,duo,47,42,-1,0,1029.0,0,0.0,0,0,1938.0,3,1467,0.6764063376005066
5403c1dda96aae,1432c806cf026d,3fccffc751050d,0,0,0.0,0,0,0,84,999,0,0,0.0,1320,duo-fpp,48,46,-1,0,0.0,0,0.0,0,0,121.2,3,1495,0.12056350645173318
ba1aa87a8ac904,fb8a6b64bec9d5,d1e71efdebb366,2,4,160.0,0,0,12,26,0,1,1,17.34,1386,duo-fpp,49,48,1494,0,2580.0,0,71.5,0,0,3377.0,4,0,0.8769834780620985
1b44f69e581935,f39999a309bccf,fc1894fb00cab4,0,0,100.0,1,0,0,31,0,1,1,3.844,1358,duo-fpp,46,45,1495,0,0.0,0,0.0,0,0,25.72,2,0,0.10869747017962496
fad0c6684a7887,515a05a4e27206,e9d203a36b1d0a,0,2,61.17,0,0,1,45,0,0,0,0.0,1395,squad-fpp,28,28,1496,0,0.0,0,0.0,0,0,2921.0,5,0,0.9497969239554819
9980f974edb687,a7d23384e380b2,e99a57eb281d3c,3,7,753.6,3,1,2,1,1244,7,2,81.72,1357,duo-fpp,49,46,-1,0,567.6,0,0.0,0,0,2955.0,6,1549,0.9350248710895132
56bc993ddfd7f4,502cd7737ddf6a,e6730efe2fd88c,0,0,100.0,1,0,0,64,1148,0,0,0.0,1952,duo,47,43,-1,0,567.6,0,0.0,0,0,884.3,7,1487,0.3479543346389633
